x,y,color,label
438.0258356776344,469.7152632880994,#1f77b4,a
447.86842943461056,446.09064379329993,#1f77b4,a
441.778904439627,453.69504027425495,#1f77b4,a
424.1944581172844,447.9825262297708,#1f77b4,a
423.5149043007589,467.85068760021784,#1f77b4,a
440.4729401002959,456.9533342852847,#1f77b4,a
405.00526711092584,465.03868969331654,#1f77b4,a
400.00333758750395,473.5836429528708,#1f77b4,a
407.5386382851725,468.0574353666817,#1f77b4,a
402.82689267900577,466.43194413073894,#1f77b4,a
394.66295833633893,463.40176740332345,#1f77b4,a
387.2300014092958,442.16828738612054,#1f77b4,a
360.40616567770326,452.4741392925174,#1f77b4,a
361.3130512985879,436.6017943691366,#1f77b4,a
364.2524798017072,437.18705587594036,#1f77b4,a
356.26103440760005,443.7985803061039,#1f77b4,a
360.6167994099701,458.6659214187918,#1f77b4,a
345.42453978590993,430.4026281082905,#1f77b4,a
337.71625580539495,430.24397639080007,#1f77b4,a
334.5638862439176,448.9809827969169,#1f77b4,a
327.93095442161376,429.32848057105963,#1f77b4,a
302.7830730438642,439.6888347021693,#1f77b4,a
295.23665779339524,411.98504202452403,#1f77b4,a
293.7990020905035,420.41487819195845,#1f77b4,a
284.58597541621214,424.21744321930703,#1f77b4,a
291.16755616644787,423.5108491539904,#1f77b4,a
297.58663248768573,405.1766371150933,#1f77b4,a
280.50011185973455,383.6186215957781,#1f77b4,a
254.47169658761544,372.949444037709,#1f77b4,a
244.08054907705238,394.41564964081346,#1f77b4,a
243.1814334837305,372.77848433943603,#1f77b4,a
252.81892013895802,378.4152374340125,#1f77b4,a
238.06955309400928,358.87850771321945,#1f77b4,a
250.59836296361607,381.4538840919727,#1f77b4,a
248.12744769632533,370.6704579849186,#1f77b4,a
221.74942358544703,366.5343405416079,#1f77b4,a
239.33615045295727,359.80501689632626,#1f77b4,a
237.09982480037164,363.2732171180157,#1f77b4,a
224.59375485261614,340.2234096644084,#1f77b4,a
238.28026566978792,324.33383940042904,#1f77b4,a
234.28313547852372,335.9307363931217,#1f77b4,a
223.1111168327243,312.1412110329447,#1f77b4,a
211.94510477619426,308.53730191738157,#1f77b4,a
210.85108197685548,294.021539857506,#1f77b4,a
220.85871379769722,291.78030058381466,#1f77b4,a
232.06327736917373,289.2083754698265,#1f77b4,a
206.87728139550336,297.4630196756551,#1f77b4,a
222.6674529519738,257.87590580254994,#1f77b4,a
235.2371488146803,255.48971061414082,#1f77b4,a
221.37115277368312,272.10735308699685,#1f77b4,a
239.44884536475814,258.5607591575276,#1f77b4,a
220.33603486059198,249.505742311472,#1f77b4,a
224.78076397326663,254.6723716139807,#1f77b4,a
223.38892785112463,245.8059698329941,#1f77b4,a
242.2991355660877,229.52840338851587,#1f77b4,a
233.1149348699357,217.77390460671228,#1f77b4,a
230.37522854969112,213.49072482806662,#1f77b4,a
255.2979196126351,210.42816441203223,#1f77b4,a
247.1464380529082,209.21899775512884,#1f77b4,a
238.11714718981236,207.96889055430967,#1f77b4,a
260.4570789741308,211.00614242698282,#1f77b4,a
250.3885547919419,191.50845836160045,#1f77b4,a
261.5601795248923,185.5672191995991,#1f77b4,a
272.16752684719813,170.92545900987363,#1f77b4,a
246.29078897924896,174.70531622992092,#1f77b4,a
247.8559745164161,178.34550462659416,#1f77b4,a
270.0046940807197,172.0094636540905,#1f77b4,a
279.8600716669238,167.24091739222314,#1f77b4,a
275.2355709531762,174.8680343180613,#1f77b4,a
278.4009909759813,147.2769270275694,#1f77b4,a
283.55448788580156,159.68902317792742,#1f77b4,a
288.4974385947561,154.20669689639988,#1f77b4,a
275.37487345395874,145.17687900464534,#1f77b4,a
292.90093103490744,149.3839978931303,#1f77b4,a
297.0962763155955,146.87458571843172,#1f77b4,a
276.34522981237484,128.49396451873105,#1f77b4,a
299.5922401759187,128.84841850770886,#1f77b4,a
279.6395945394397,118.65114808058667,#1f77b4,a
291.23435006362297,133.5095730209087,#1f77b4,a
296.27012470797393,120.12007577483439,#1f77b4,a
297.74055950199624,103.20446680949698,#1f77b4,a
289.6764215361593,104.23075605771612,#1f77b4,a
316.334947488504,120.20773938937117,#1f77b4,a
317.77101256686035,113.95042688606281,#1f77b4,a
320.6153571555801,87.41940030248134,#1f77b4,a
321.27622194224637,90.70063536708903,#1f77b4,a
333.5082807668222,99.55786951929923,#1f77b4,a
316.2446976229812,80.99337586191393,#1f77b4,a
315.2408491125176,85.2783522582784,#1f77b4,a
339.46394571654486,105.16778374211225,#1f77b4,a
338.56532041785437,97.73154526579356,#1f77b4,a
342.1647582464645,71.1475841111282,#1f77b4,a
323.8293875990971,75.96130082046034,#1f77b4,a
345.0476689717189,68.19398026935914,#1f77b4,a
345.1373114132185,75.521842321701,#1f77b4,a
341.87862944581843,63.05159487149518,#1f77b4,a
355.3801742955587,58.1670889231504,#1f77b4,a
368.133038822307,64.04151547590624,#1f77b4,a
388.00875664042997,68.82680794239064,#1f77b4,a
418.52421517309415,68.12914758742818,#1f77b4,a
398.33575818765087,48.768311589816676,#1f77b4,a
437.3168468701778,63.666352042904805,#1f77b4,a
435.14257889414966,53.656811771803746,#1f77b4,a
440.08391596766984,31.826971593970654,#1f77b4,a
432.68530926794966,35.76596578938427,#1f77b4,a
443.2658065367568,38.19191428531849,#1f77b4,a
450.51886418646103,45.01429119775372,#1f77b4,a
441.39831381567967,50.41720531597616,#1f77b4,a
455.3810484192073,53.749628396248454,#1f77b4,a
439.09014266506813,30.214624877030758,#1f77b4,a
448.483680118718,50.43523035882964,#1f77b4,a
466.56296652379353,46.351312647520274,#1f77b4,a
455.6801264082319,38.67154117672976,#1f77b4,a
475.54877244708223,25.089076974798388,#1f77b4,a
455.5655519051648,47.2049799284693,#1f77b4,a
481.13903999439555,51.175393046278884,#1f77b4,a
471.7397868305304,51.79222229914927,#1f77b4,a
490.6175142546892,42.670959126063906,#1f77b4,a
481.3003128939188,43.791444340463386,#1f77b4,a
494.43170751215274,41.05179855917385,#1f77b4,a
